Степень полинома	f(x)	Шаг h	I*-Ih	(I*-Ih)/(I*-Ih/2)	(Ih/2-Ih)/(2^k-1)	I^R	I*-I^R
4	5x^4	0.100000	-4.440892e-16	2.000000e+00	-3.524518e-18	1.000000e+00	-2.220446e-16	
4	5x^4	0.050000	-2.220446e-16	1.000000e+00	0.000000e+00	1.000000e+00	-2.220446e-16	
4	5x^4	0.025000	-2.220446e-16	-	-	-	-	
5	6x^5	0.100000	-4.440892e-16	2.000000e+00	-3.524518e-18	1.000000e+00	-2.220446e-16	
5	6x^5	0.050000	-2.220446e-16	1.000000e+00	0.000000e+00	1.000000e+00	-2.220446e-16	
5	6x^5	0.025000	-2.220446e-16	-	-	-	-	
6	7x^6	0.100000	2.499999e-09	6.400066e+01	3.906250e-11	1.000000e+00	-4.440892e-16	
6	7x^6	0.050000	3.906209e-11	6.401747e+01	6.103478e-13	1.000000e+00	-2.220446e-16	
6	7x^6	0.025000	6.101786e-13	-	-	-	-	
