Степень полинома	f(x)	Шаг h	I*-Ih	(I*-Ih)/(I*-Ih/2)	(Ih/2-Ih)/(2^k-1)	I^R	I*-I^R
2	3x^2	0.100000	0.000000e+00	-nan(ind)	0.000000e+00	1.000000e+00	0.000000e+00	
2	3x^2	0.050000	0.000000e+00	-0.000000e+00	1.480297e-17	1.000000e+00	-2.220446e-16	
2	3x^2	0.025000	-2.220446e-16	-	-	-	-	
3	4x^3	0.100000	-4.440892e-16	2.000000e+00	-1.480297e-17	1.000000e+00	-2.220446e-16	
3	4x^3	0.050000	-2.220446e-16	1.000000e+00	0.000000e+00	1.000000e+00	-2.220446e-16	
3	4x^3	0.025000	-2.220446e-16	-	-	-	-	
4	5x^4	0.100000	2.777778e-06	1.600000e+01	1.736111e-07	1.000000e+00	-2.220446e-16	
4	5x^4	0.050000	1.736111e-07	1.600000e+01	1.085069e-08	1.000000e+00	0.000000e+00	
4	5x^4	0.025000	1.085069e-08	-	-	-	-	
